year,GEOID10,statefp,state_place,tract,state,county,POP,NHWHITE,NHBLACK,NATIVE,ASIAN,HISPANIC,NONWHITE,NHWHITE_PR,NHBLACK_PR,NATIVE_PR,ASIAN_PR,HISPANIC_PR,OTHER_PR,entropy,divergence
2000-01-31,06075017102,06,0667000,Census Tract 171.02,CA,San Francisco County,3651.999951,2818.320313,266.4959412,31.17499542,303.2019653,203.6431274,804.51602932,0.7717197017563707,0.07297260262203109,0.008536417261304613,0.08302354035272548,0.05576208382594253,0.007985654181625557,0.7992406914980702,0.2775929126822693
2000-01-31,06075017101,06,0667000,Census Tract 171.01,CA,San Francisco County,3611.000049,2786.679688,263.5040588,30.82500458,299.7980347,201.3568726,795.48397068,0.7717196483483072,0.07297259906517381,0.008536417657633768,0.0830235476687472,0.05576207971965053,0.007985707540487441,0.7992407299476937,0.27759283595648127
2000-01-31,06075016802,06,0667000,Census Tract 168.02,CA,San Francisco County,3117.999967,1958.907349,519.7518311,37.81871796,275.9744263,294.3727112,1127.91768656,0.6282576554626371,0.1666939822324892,0.012129159191873717,0.08851007992970898,0.09441074865797136,0.009998374525319598,1.0816048522593595,0.11380701297896927
2000-01-31,06075015802,06,0667000,Census Tract 158.02,CA,San Francisco County,2924.000014,1275.393433,943.8847656,24.25673103,463.4312439,190.6493988,1622.22213933,0.43618106254906464,0.3228060058415581,0.008295735606655164,0.15849221671720554,0.06520157246483514,0.009023406820681368,1.2366182840907243,0.145058568452394
2000-01-31,06075015801,06,0667000,Census Tract 158.01,CA,San Francisco County,3947.000191,1721.606689,1274.115356,32.74327087,625.5687866,257.3506165,2189.77802997,0.43618105033935123,0.3228060031274521,0.008295735821006957,0.15849221087610532,0.06520157183848486,0.009023427997599587,1.2366182806258923,0.14505854468616633
2000-01-31,06075013101,06,0667000,Census Tract 131.01,CA,San Francisco County,3616.000182,2934.400635,68.77501678,12.86036873,424.9513245,153.765274,660.35198401,0.8115045595426355,0.01901963863894518,0.0035565177219894282,0.1175197187808106,0.042523580271213605,0.005875985044405785,0.6508152320393564,0.40056765435679015
2000-01-31,06075012902,06,0667000,Census Tract 129.02,CA,San Francisco County,3145.000119,2545.32251,33.62162781,15.98405266,359.9167786,153.7776031,563.3000621699999,0.8093235019683636,0.010690501283888824,0.0050823694929087535,0.1144409427604222,0.04889589738676891,0.011566787107647802,0.6422244839699454,0.40419983774306717
2000-01-31,06075012602,06,0667000,Census Tract 126.02,CA,San Francisco County,2604.000093,2211.41333,15.89420223,8.47690773,258.0158691,88.47772217,370.86470123,0.8492370395625788,0.006103764079243448,0.003255340793876078,0.09908443159951913,0.033977618667466,0.008341805297316651,0.5325225312773125,0.47549631767825296
2000-01-31,06075012601,06,0667000,Census Tract 126.01,CA,San Francisco County,2311.000053,1962.586792,14.10579872,7.523092747,228.9841309,78.52227783,329.135300197,0.8492370173043868,0.00610376391021225,0.0032553407937978957,0.0990844334264496,0.033977618359665174,0.00834182620548829,0.5325225508682739,0.4754962826365994
2000-01-31,06075012501,06,0667000,Census Tract 125.01,CA,San Francisco County,3778.000006,1091.302734,579.3878784,75.29597473,1480.005981,490.8906555,2625.58048963,0.2888572610552823,0.15335835825300417,0.01993011503716763,0.39174324474577565,0.12993400072006245,0.016177020188707814,1.3565715288736393,0.28863875885384005
2000-01-31,06075012402,06,0667000,Census Tract 124.02,CA,San Francisco County,3535.999889,1356.445435,324.3204651,38.00292969,1020.896912,724.2149048,2107.43521159,0.3836101463746398,0.09171959142558671,0.010747435204458514,0.28871519910842397,0.2048119138953966,0.020395713991494313,1.3188245611166554,0.13165372885518425
2000-01-31,06075012401,06,0667000,Census Tract 124.01,CA,San Francisco County,4651.999867,1784.554443,426.6795044,49.9970665,1343.103027,952.7850342,2772.5646321000004,0.3836101663843835,0.0917195865431438,0.010747435066510934,0.2887151903265521,0.20481192206362545,0.020395699615784246,1.3188245556654838,0.13165373443084777
2000-01-31,06075012202,06,0667000,Census Tract 122.02,CA,San Francisco County,2311.9999,900.1517944,170.5654449,26.62004089,731.8868408,428.2211609,1357.2934874899997,0.3893390282586085,0.07377398454904778,0.01151385901444027,0.31656006594117936,0.1852167731062618,0.0235962891304623,1.2874144000166674,0.17661668243390943
