Geo_FIPS,Geo_TRACT,TPOP,NATIVE,FOREIGN,NATURALIZED,NOT_CITIZEN,THH,ENGLISH_ONLY,TSPANISH,SPANISH_LEP,SPANISH_NLEP,TINDOEURO,INDOEURO_LEP,INDOEURO_NLEP,TAPI,API_LEP,API_NLEP,TOTHER,OTHER_LEP,OTHER_NLEP
6075021000,21000,4523,3469,1054,805,249,2078,1365,347,47,300,161,0,161,205,19,186,0,0,0
6075021100,21100,4080,3083,997,388,609,1865,1236,214,8,206,241,18,223,132,0,132,42,0,42
6075021200,21200,3105,2404,701,369,332,1411,1008,76,0,76,241,0,241,74,0,74,12,0,12
6075021300,21300,2590,1948,642,207,435,1213,957,40,0,40,129,0,129,87,0,87,0,0,0
6075021400,21400,3823,3017,806,591,215,1681,1235,126,12,114,193,0,193,127,10,117,0,0,0
6075021500,21500,5674,4430,1244,811,433,2516,1705,363,33,330,308,0,308,87,37,50,53,0,53
6075021600,21600,4135,2883,1252,682,570,2101,1301,205,16,189,299,0,299,296,75,221,0,0,0
6075021700,21700,4556,3415,1141,648,493,1814,1082,217,33,184,212,12,200,249,46,203,54,9,45
6075021800,21800,4095,3435,660,360,300,1829,1369,192,19,173,123,0,123,113,9,104,32,0,32
6075022600,22600,3213,2408,805,261,544,1536,1069,74,0,74,172,10,162,221,22,199,0,0,0
6075022702,22702,2298,1887,411,158,253,1056,728,112,0,112,81,4,77,99,14,85,36,0,36
6075022704,22704,3367,2744,623,338,285,1538,1108,72,0,72,204,10,194,154,18,136,0,0,0
6075022801,22801,5769,3864,1905,732,1173,1902,1034,520,62,458,114,0,114,224,72,152,10,0,10
6075022802,22802,2438,1713,725,387,338,687,325,230,73,157,54,5,49,78,25,53,0,0,0
6075022803,22803,5224,3293,1931,774,1157,1540,729,538,45,493,93,0,93,159,39,120,21,0,21
6075022901,22901,4856,3133,1723,815,908,1513,573,770,183,587,59,20,39,84,0,84,27,27,0
6075022902,22902,2483,1579,904,495,409,782,317,314,65,249,85,0,85,59,6,53,7,0,7
6075022903,22903,3240,2187,1053,469,584,1073,491,397,104,293,123,0,123,51,0,51,11,0,11
6075023001,23001,5398,2362,3036,2265,771,1381,393,133,34,99,23,0,23,832,239,593,0,0,0
6075023003,23003,4084,2342,1742,1307,435,1225,401,216,39,177,60,0,60,548,198,350,0,0,0
6075023102,23102,4549,3383,1166,679,487,1557,1182,150,39,111,18,0,18,207,47,160,0,0,0
6075023103,23103,2890,2476,414,192,222,954,662,108,0,108,0,0,0,179,43,136,5,0,5
6075023200,23200,3972,2274,1698,822,876,1209,616,376,36,340,36,9,27,181,81,100,0,0,0
6075023300,23300,3739,1665,2074,1370,704,1209,427,205,43,162,38,0,38,515,231,284,24,0,24
6075023400,23400,3661,2278,1383,784,599,1003,358,317,88,229,23,15,8,293,129,164,12,0,12
6075025100,25100,3473,2740,733,457,276,1305,871,213,0,213,120,21,99,94,9,85,7,0,7
6075025200,25200,5256,4050,1206,669,537,2020,1378,300,73,227,234,0,234,108,21,87,0,0,0
6075025300,25300,4454,3279,1175,504,671,1846,1132,417,73,344,131,0,131,146,9,137,20,0,20
6075025401,25401,3775,2748,1027,492,535,1439,949,303,80,223,55,0,55,132,22,110,0,0,0
6075025402,25402,3427,2139,1288,748,540,1153,550,299,73,226,83,8,75,199,12,187,22,0,22
6075025403,25403,4782,3123,1659,1045,614,1433,717,406,143,263,65,0,65,245,91,154,0,0,0
6075025500,25500,9684,5243,4441,3394,1047,2722,822,764,134,630,117,0,117,966,242,724,53,14,39
6075025600,25600,5314,2769,2545,1995,550,1480,468,228,68,160,129,10,119,646,179,467,9,0,9
6075025701,25701,5088,2652,2436,1861,575,1440,309,323,60,263,23,0,23,785,191,594,0,0,0
6075025702,25702,4401,1657,2744,2026,718,1298,266,228,27,201,43,12,31,761,358,403,0,0,0
6075025800,25800,2224,1149,1075,802,273,640,210,157,34,123,31,9,22,238,46,192,4,0,4
6075025900,25900,4618,2928,1690,1307,383,1475,665,86,5,81,108,29,79,616,138,478,0,0,0
6075026001,26001,5986,2996,2990,1648,1342,1667,378,807,122,685,4,0,4,478,169,309,0,0,0
6075026002,26002,3644,2271,1373,959,414,1009,444,224,7,217,50,0,50,291,59,232,0,0,0
6075026003,26003,5126,2462,2664,2033,631,1402,345,446,17,429,66,7,59,545,139,406,0,0,0
6075026004,26004,4649,2596,2053,1327,726,1295,373,388,66,322,47,0,47,464,169,295,23,0,23
6075026100,26100,7455,3120,4335,2875,1460,2015,414,427,43,384,39,0,39,1125,372,753,10,0,10
6075026200,26200,7903,2692,5211,3915,1296,2048,299,569,123,446,45,14,31,1116,342,774,19,0,19
6075026301,26301,5083,2144,2939,2176,763,1378,339,254,44,210,23,0,23,762,254,508,0,0,0
6075026302,26302,5255,2168,3087,2151,936,1461,365,302,13,289,41,20,21,748,234,514,5,0,5
6075026303,26303,4822,2078,2744,1945,799,1284,277,352,58,294,35,0,35,605,142,463,15,0,15
6075026401,26401,3738,1938,1800,1381,419,1013,254,95,39,56,13,0,13,651,90,561,0,0,0
6075026402,26402,5102,2678,2424,1724,700,1274,390,263,18,245,17,0,17,594,192,402,10,0,10
6075026403,26403,4082,1656,2426,1699,727,1165,212,141,38,103,57,0,57,755,257,498,0,0,0
6075026404,26404,2897,1262,1635,1023,612,715,161,174,52,122,18,0,18,362,78,284,0,0,0
