Description,Incident #,Location,Agency,incident_datetime,incident_date,incident_month,incident_day_of_week,incident_time_24hr_clock,time_ampm,street_address,city,state,lat,long
DUI,210810093,E CAPITOL EXPY / OCALA AV,San Jose Police,3/22/2021 2:34,3/22/2021,March,Monday, 2:34,AM,E CAPITOL EXPY &  OCALA AV,San Jose,CA,37.3407502,-121.8221326
FORGERY/FRAUD,210850321,FONTAINE RD / ALVIN AV,San Jose Police,3/26/2021 11:39,3/26/2021,March,Friday,11:39,AM,FONTAINE RD &  ALVIN AV,San Jose,CA,37.3195095,-121.8301073
AUTO THEFT,211070874,GLEN HANLEIGH DR / GLEN HARDY CT,San Jose Police,4/17/2021 23:51,4/17/2021,April,Saturday,23:51,PM,GLEN HANLEIGH DR &  GLEN HARDY CT,San Jose,CA,37.3283757,-121.8118277
NARCOTICS,210920291,KARL ST / ALFRED WY,San Jose Police,4/2/2021 10:30,4/2/2021,April,Friday,10:30,AM,KARL ST &  ALFRED WY,San Jose,CA,37.3384204,-121.8301584
DUI,210900742,OCALA AV / BERMUDA WY,San Jose Police,3/31/2021 17:26,3/31/2021,March,Wednesday,17:26,PM,OCALA AV &  BERMUDA WY,San Jose,CA,37.3320996,-121.8353186
ASSAULT,210810717,OCALA AV / CATHAY DR,San Jose Police,3/22/2021 17:29,3/22/2021,March,Monday,17:29,PM,OCALA AV &  CATHAY DR,San Jose,CA,37.3344252,-121.8319152
VANDALISM,211023220,OCALA AV / DARWIN WY,San Jose Police,4/12/2021 8:59,4/12/2021,April,Monday, 8:59,AM,OCALA AV &  DARWIN WY,San Jose,CA,37.3339625,-121.8325973
NARCOTICS,211060622,OCALA AV / E CAPITOL EXPY,San Jose Police,4/16/2021 16:47,4/16/2021,April,Friday,16:47,PM,OCALA AV &  E CAPITOL EXPY,San Jose,CA,37.3407502,-121.8221326
WEAPONS,210990704,OCALA AV/ HOPKINS DR,San Jose Police,4/9/2021 18:27,4/9/2021,April,Friday,18:27,PM,OCALA AV & HOPKINS DR,San Jose,CA,37.3348819,-121.8312412
NARCOTICS,210910806,QUIMBY RD / RIGOLETTO DR,San Jose Police,4/1/2021 18:10,4/1/2021,April,Thursday,18:10,PM,QUIMBY RD &  RIGOLETTO DR,San Jose,CA,37.3226644,-121.8181265
ASSAULT,210901029,RIGOLETTO DR / S KING RD,San Jose Police,3/31/2021 23:58,3/31/2021,March,Wednesday,23:58,PM,RIGOLETTO DR &  S KING RD,San Jose,CA,37.3187294,-121.8246195
DUI,210930055,S KING RD / HAVANA DR,San Jose Police,4/3/2021 3:23,4/3/2021,April,Saturday, 3:23,AM,S KING RD &  HAVANA DR,San Jose,CA,37.3310375,-121.8366579
NARCOTICS,211050744,S KING RD / SEMINOLE WY,San Jose Police,4/15/2021 18:31,4/15/2021,April,Thursday,18:31,PM,S KING RD &  SEMINOLE WY,San Jose,CA,37.3240534,-121.8297444
ASSAULT,210940517,S KING RD/ TULLY RD,San Jose Police,4/4/2021 15:55,4/4/2021,April,Sunday,15:55,PM,S KING RD & TULLY RD,San Jose,CA,37.3224421,-121.8281776
NARCOTICS,210990664,TULL RD/ HURAN DR,San Jose Police,4/9/2021 17:50,4/9/2021,April,Friday,17:50,PM,TULL RD & HURAN DR,San Jose,CA,37.3224421,-121.8281776
NARCOTICS,210920013,TULLY RD / HURAN DR,San Jose Police,4/2/2021 0:10,4/2/2021,April,Friday, 0:10,AM,TULLY RD &  HURAN DR,San Jose,CA,37.3238765,-121.8260198
DRUNK PUBLIC,210910015,TULLY RD / S KING RD,San Jose Police,4/1/2021 0:15,4/1/2021,April,Thursday, 0:15,AM,TULLY RD &  S KING RD,San Jose,CA,37.3224421,-121.8281776
NARCOTICS,210910526,WAVERLY AV / S KING RD,San Jose Police,4/1/2021 14:14,4/1/2021,April,Thursday,14:14,PM,WAVERLY AV &  S KING RD,San Jose,CA,37.3257575,-121.8314369
