Description,Incident #,Location,Agency,incident_datetime,incident_date,incident_month,incident_day_of_week,incident_time_24hr_clock,time_ampm,street_address,city,state,postalcode,lat,long
THEFT,GO 202157764,1200 BLK 19TH ST,Bakersfield Police,3/27/2021 19:19,3/27/2021,March,Saturday,19:19,PM,1250 19TH ST,Bakersfield,CA,93301,35.37622,-119.01585
FRAUD-BY WIRE,GO 2021802517,1400 BLK 19TH ST,Bakersfield Police,4/7/2021 8:07,4/7/2021,April,Wednesday, 8:07,AM,1450 19TH ST,Bakersfield,CA,93301,35.37623,-119.01821
THEFT-FROM UNLOCKED VEHICLE,GO 2021802158,1400 BLK 19TH ST,Bakersfield Police,3/24/2021 11:45,3/24/2021,March,Wednesday,11:45,AM,1450 19TH ST,Bakersfield,CA,93301,35.37623,-119.01821
THEFT-CATALYTIC CONVERTER,GO 202166156,1900 BLK 19TH ST,Bakersfield Police,4/7/2021 8:05,4/7/2021,April,Wednesday, 8:05,AM,1950 19TH ST,Bakersfield,CA,93301,35.376263,-119.024055
THEFT-CATALYTIC CONVERTER,GO 202155732,1900 BLK 19TH ST,Bakersfield Police,3/24/2021 16:40,3/24/2021,March,Wednesday,16:40,PM,1950 19TH ST,Bakersfield,CA,93301,35.376263,-119.024055
THEFT,GO 202165898,2200 BLK 19TH ST,Bakersfield Police,4/8/2021 11:47,4/8/2021,April,Thursday,11:47,AM,2250 19TH ST,Bakersfield,CA,93301,35.376278,-119.0276
THEFT-CATALYTIC CONVERTER,GO 2021802278,1900 BLK Q ST,Bakersfield Police,3/27/2021 11:00,3/27/2021,March,Saturday,11:00,AM,1950 Q ST,Bakersfield,CA,93301,35.376675,-119.01059
AUTO THEFT,GO 202166059,300 BLK 20TH ST,Bakersfield Police,4/8/2021 6:50,4/8/2021,April,Thursday, 6:50,AM,350 20TH ST,Bakersfield,CA,93301,35.37712,-119.00529
AUTO THEFT,GO 202154538,400 BLK 20TH ST,Bakersfield Police,3/22/2021 17:10,3/22/2021,March,Monday,17:10,PM,450 20TH ST,Bakersfield,CA,93301,35.377125,-119.00602
BURGLARY-FORCED-BUSINESS,GO 202153732,1600 BLK 20TH ST,Bakersfield Police,3/22/2021 6:00,3/22/2021,March,Monday, 6:00,AM,1650 20TH ST,Bakersfield,CA,93301,35.37718,-119.020615
BURGLARY-FORCED-BUSINESS,GO 202165679,2000 BLK R ST,Bakersfield Police,4/8/2021 3:31,4/8/2021,April,Thursday, 3:31,AM,2050 R ST,Bakersfield,CA,93301,35.37762,-119.00943
DRUG OFFENSE,GO 202170241,200 BLK BLK E 21ST ST,Bakersfield Police,4/14/2021 11:37,4/14/2021,April,Wednesday,11:37,AM,250 BLK E 21ST ST,Bakersfield,CA,93301,35.378086,-119.00398
DRUG-PARAPHERNALIA POSSESSION,GO 202157419,1500 BLK 21ST ST,Bakersfield Police,3/27/2021 8:34,3/27/2021,March,Saturday, 8:34,AM,1550 21ST ST,Bakersfield,CA,93301,35.378128,-119.01941
